Study	cluster	gene	hgnc_symbol	gene_biotype	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	Responder_CPM	Non_responder_CPM	ensembl_core
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000166006	KCNC2	protein_coding	0	11.456046548358994	0.384	0	0	81	0	ENSG00000166006
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000183844	FAM3B	protein_coding	2.406292264269806e-286	10.93335273022293	0.357	0	5.481774407233045e-282	55	0	ENSG00000183844
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000143194	MAEL	protein_coding	1.1208936663764676e-189	7.622114046226848	0.267	0.002	2.5535078613722308e-185	34	0	ENSG00000143194
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000111341	MGP	protein_coding	5.604790170172551e-183	4.673500364013748	0.981	0.268	1.276827248667009e-178	11458	346	ENSG00000111341
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000187546	AGMO	protein_coding	7.775819472388614e-172	5.612535993471356	0.345	0.013	1.7714094340048502e-167	46	1	ENSG00000187546
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000198054	DSCR8	lncRNA	1.4493009700132047e-156	3.8462386416784953	0.558	0.064	3.301652539787082e-152	70	5	ENSG00000198054
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000134184	GSTM1	protein_coding	2.2257024036498587e-156	7.755271115813116	0.229	0.003	5.0703726457547434e-152	23	0	ENSG00000134184
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000104324	CPQ	protein_coding	1.156863652999477e-145	3.133976198428101	0.721	0.133	2.6354510878981083e-141	218	18	ENSG00000104324
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000106511	MEOX2	protein_coding	7.167576909950147e-139	4.866732107658556	0.287	0.011	1.632845695855743e-134	44	1	ENSG00000106511
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000106366	SERPINE1	protein_coding	4.0962860857412727e-135	4.796742112538457	0.465	0.05	9.331749331927193e-131	157	4	ENSG00000106366
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000120899	PTK2B	protein_coding	1.7534695760115802e-129	8.163636130998846	0.473	0.059	3.9945790411119806e-125	1520	3	ENSG00000120899
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000204389	HSPA1A	protein_coding	6.283433127050781e-127	3.4475801966698407	0.973	0.688	1.4314289006734384e-122	1613	169	ENSG00000204389
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000072694	FCGR2B	protein_coding	4.8139092570707306e-123	4.566148199	0.636	0.132	1.096656667853283e-118	246	8	ENSG00000072694
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000185155	MIXL1	protein_coding	2.1989610572639982e-121	6.9505915094316775	0.221	0.006	5.0094531845531145e-117	20	0	ENSG00000185155
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000174748	RPL15	protein_coding	2.8344783154927115e-118	-1.669431269	0.984	0.996	6.4572250505239465e-114	922	3211	ENSG00000174748
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000120738	EGR1	protein_coding	1.547203295848528e-115	2.833808569271132	0.961	0.663	3.524683828272532e-111	1144	151	ENSG00000120738
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000198597	ZNF536	protein_coding	7.3948073132858e-114	4.163426489	0.205	0.006	1.6846110540396382e-109	29	0	ENSG00000198597
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000118640	VAMP8	protein_coding	8.084490107911973e-113	3.231960737305289	0.492	0.071	1.8417276914834264e-108	68	5	ENSG00000118640
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000167772	ANGPTL4	protein_coding	1.4605406290953234e-111	4.272458892118498	0.632	0.137	3.327257607142056e-107	388	16	ENSG00000167772
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000137154	RPS6	protein_coding	8.224089761240607e-111	-1.805824712	0.977	0.995	1.8735298885082227e-106	890	3359	ENSG00000137154
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000185664	PMEL	protein_coding	8.761784515410964e-110	-4.114512952	0.233	0.913	1.9960221304557717e-105	170	3449	ENSG00000185664
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000121316	PLBD1	protein_coding	2.0280848140100468e-109	3.7605114457145046	0.345	0.031	4.620180014796288e-105	48	2	ENSG00000121316
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000122406	RPL5	protein_coding	2.761200469020296e-109	-1.666294902	0.961	0.991	6.290290788475137e-105	659	2135	ENSG00000122406
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000258616	LINC02303	lncRNA	2.5105149281160205e-105	6.763671836133465	0.147	0.001	5.719204057741106e-101	16	0	ENSG00000258616
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000162407	PLPP3	protein_coding	1.248735806131706e-101	3.709901131	0.318	0.028	2.8447450399486396e-97	40	2	ENSG00000162407
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000145730	PAM	protein_coding	2.1266298038525352e-99	4.0678815585099635	0.403	0.054	4.8446753561564606e-95	75	3	ENSG00000145730
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000234840	LINC01239	lncRNA	6.33797246096155e-99	4.228159642190792	0.322	0.03	1.4438535063316507e-94	45	2	ENSG00000234840
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000141293	SKAP1	protein_coding	3.2161291684591856e-97	5.021540892171275	0.252	0.016	7.326663858666871e-93	24	1	ENSG00000141293
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000129538	RNASE1	protein_coding	1.8361102170813739e-96	2.7254150696641775	0.938	0.444	4.182842685533078e-92	1261	227	ENSG00000129538
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000130518	IQCN	protein_coding	9.408730545293194e-96	4.6007183740597375	0.337	0.036	2.1434029055232424e-91	50	2	ENSG00000130518
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000132002	DNAJB1	protein_coding	2.326855413642257e-95	2.2586630764756985	0.953	0.827	5.300809317818426e-91	858	208	ENSG00000132002
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000227392	HPN-AS1	lncRNA	5.940988224934811e-95	4.488564332968083	0.364	0.044	1.3534165275223992e-90	40	3	ENSG00000227392
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000196189	SEMA4A	protein_coding	2.0427020360587893e-92	3.647261581473172	0.558	0.128	4.653479508345528e-88	181	13	ENSG00000196189
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000174444	RPL4	protein_coding	1.9303625677456984e-91	-1.798486445	0.934	0.973	4.397558965581476e-87	463	1780	ENSG00000174444
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000175544	CABP4	protein_coding	3.4166362963478995e-91	5.301953562661758	0.159	0.004	7.783439146710149e-87	13	0	ENSG00000175544
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000136156	ITM2B	protein_coding	4.6644889386105597e-91	1.5848360856225414	0.977	0.929	1.0626172251048716e-86	1209	382	ENSG00000136156
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000134986	NREP	protein_coding	7.227998824839573e-91	2.6797928936037647	0.57	0.12	1.6466104122867034e-86	89	16	ENSG00000134986
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000198883	PNMA5	protein_coding	6.633277409860971e-90	8.936957265375085	0.12	0.001	1.511126926740428e-85	24	0	ENSG00000198883
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000010704	HFE	protein_coding	2.7867007958089803e-89	4.220382812078915	0.221	0.013	6.348383082932438e-85	20	1	ENSG00000010704
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000079931	MOXD1	protein_coding	8.52163523519799e-89	3.1979026079157284	0.422	0.065	1.941313722930454e-84	70	5	ENSG00000079931
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000146674	IGFBP3	protein_coding	8.924575591876024e-89	4.642572391075485	0.597	0.153	2.0331075655852772e-84	1054	35	ENSG00000146674
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000136888	ATP6V1G1	protein_coding	6.189522704633648e-86	-1.71615316	0.81	0.95	1.4100351673425913e-81	174	635	ENSG00000136888
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000164171	ITGA2	protein_coding	4.670419061635417e-85	3.6268963488846397	0.438	0.078	1.0639681664311644e-80	104	5	ENSG00000164171
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000236849	LINC01474	lncRNA	1.5003870609329884e-84	4.253390739668218	0.283	0.028	3.418031763511441e-80	48	2	ENSG00000236849
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000118785	SPP1	protein_coding	2.703691108770355e-82	-4.258658832	0.295	0.809	6.159278714889746e-78	64	1182	ENSG00000118785
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000147041	SYTL5	protein_coding	3.838988163746251e-82	7.292773671	0.124	0.002	8.745598935830335e-78	17	0	ENSG00000147041
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000177606	JUN	protein_coding	1.3597743134539677e-81	2.0473947868564157	0.965	0.796	3.097701863479484e-77	1527	413	ENSG00000177606
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000183486	MX2	protein_coding	6.587172979152541e-81	1.7573413757063974	0.624	0.159	1.5006238763807403e-76	115	27	ENSG00000183486
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000162783	IER5	protein_coding	1.5641668046940825e-79	2.879892520715648	0.795	0.396	3.563328397773589e-75	283	39	ENSG00000162783
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000173210	ABLIM3	protein_coding	8.455414999315872e-79	3.676747578955794	0.291	0.032	1.9262280909941488e-74	24	2	ENSG00000173210
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000106624	AEBP1	protein_coding	5.022768214686873e-78	2.423076249447042	0.981	0.872	1.1442368269878165e-73	1650	329	ENSG00000106624
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000106278	PTPRZ1	protein_coding	1.3946764752549614e-77	2.345028625718442	0.888	0.468	3.177212478278328e-73	803	127	ENSG00000106278
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000058404	CAMK2B	protein_coding	2.0799635130189577e-74	5.311273161267036	0.147	0.005	4.738364879008487e-70	17	0	ENSG00000058404
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000089327	FXYD5	protein_coding	4.108484231677032e-74	2.6555404374873612	0.953	0.798	9.359537928183447e-70	1300	243	ENSG00000089327
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000124260	MAGEA10	protein_coding	1.0348752520262873e-73	3.640238037400348	0.337	0.049	2.357549311641085e-69	48	4	ENSG00000124260
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000221890	NPTXR	protein_coding	1.8459327508577533e-72	3.8806888555039425	0.221	0.018	4.205219399729048e-68	29	1	ENSG00000221890
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000125740	FOSB	protein_coding	5.321271249620908e-72	1.7799404996088752	0.938	0.742	1.212238803376139e-67	955	268	ENSG00000125740
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000122592	HOXA7	protein_coding	1.0449516100124338e-71	3.745141522	0.26	0.028	2.3805042627693256e-67	26	2	ENSG00000122592
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000169908	TM4SF1	protein_coding	1.2833463943090564e-71	3.3532801650930186	0.318	0.044	2.9235914208754613e-67	55	4	ENSG00000169908
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000124205	EDN3	protein_coding	1.6992817737043554e-71	8.240280195439425	0.097	0.001	3.871133808675892e-67	82	0	ENSG00000124205
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000101850	GPR143	protein_coding	1.4079209675273288e-70	-4.439255764	0.05	0.684	3.2073847561240077e-66	5	133	ENSG00000101850
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000185825	BCAP31	protein_coding	5.243968309828322e-69	1.3993991662512335	0.926	0.829	1.19462842066199e-64	432	166	ENSG00000185825
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000143248	RGS5	protein_coding	8.819882550913419e-69	5.7472386036087055	0.368	0.068	2.009257443923586e-64	540	8	ENSG00000143248
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000251129	LINC02506	lncRNA	9.710255662883965e-69	8.120510753204861	0.085	0	2.212093342561596e-64	7	0	ENSG00000251129
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000148735	PLEKHS1	protein_coding	1.6126896514604395e-68	7.9727235635847205	0.089	0	3.673868294992027e-64	9	0	ENSG00000148735
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000106400	ZNHIT1	protein_coding	2.803126516205472e-68	1.2012722892873344	0.957	0.833	6.385802516567685e-64	472	187	ENSG00000106400
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000139055	ERP27	protein_coding	3.3446726961454608e-68	4.073011459323511	0.19	0.014	7.619498869088974e-64	18	1	ENSG00000139055
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000104763	ASAH1	protein_coding	5.943240061867078e-68	-1.768909004	0.597	0.919	1.353929518493939e-63	136	462	ENSG00000104763
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000164692	COL1A2	protein_coding	6.620854914132894e-68	-6.474256962	0.05	0.654	1.5082969579886146e-63	4	273	ENSG00000164692
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000144713	RPL32	protein_coding	6.907222310904414e-68	-1.086816755	1	0.999	1.5735343146471346e-63	1608	4134	ENSG00000144713
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000008441	NFIX	protein_coding	1.4349133801811569e-67	2.228281188849249	0.674	0.249	3.2688761713906935e-63	116	23	ENSG00000008441
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000136942	RPL35	protein_coding	5.6469090009227115e-67	-1.101205169	0.984	0.994	1.286422339500203e-62	876	1950	ENSG00000136942
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000229807	XIST	lncRNA	6.986353759051992e-67	1.345006621	0.88	0.282	1.5915612498496343e-62	797	255	ENSG00000229807
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000044524	EPHA3	protein_coding	1.0379099615896535e-66	4.224868142229497	0.205	0.017	2.3644626834973895e-62	25	1	ENSG00000044524
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000143947	RPS27A	protein_coding	1.6406116409904684e-66	-1.06130755	1	0.997	3.737477379340386e-62	1385	3267	ENSG00000143947
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000162490	DRAXIN	protein_coding	2.250520681262276e-66	3.7310781735014373	0.248	0.028	5.126911163983591e-62	39	3	ENSG00000162490
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000197958	RPL12	protein_coding	1.845805753083921e-65	-1.50393957	0.996	0.994	4.20493008610048e-61	1172	3906	ENSG00000197958
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000151320	AKAP6	protein_coding	2.503453127538374e-65	2.7101786775586643	0.702	0.318	5.70311656984517e-61	282	42	ENSG00000151320
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000105472	CLEC11A	protein_coding	3.0433941016303393e-65	2.016770536187731	0.864	0.596	6.933156102924076e-61	277	71	ENSG00000105472
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000256235	SMIM3	protein_coding	2.297716379674057e-63	2.7253297136414965	0.36	0.065	5.234427684535469e-59	57	8	ENSG00000256235
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000185787	MORF4L1	protein_coding	1.1412473523786048e-62	-1.166800163	0.783	0.953	2.5998755934536997e-58	207	437	ENSG00000185787
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000167526	RPL13	protein_coding	2.2532830635627576e-62	-0.856944236	1	1	5.133204147102318e-58	3051	6514	ENSG00000167526
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000120694	HSPH1	protein_coding	2.8250729255475354e-62	1.5267659118521206	0.911	0.794	6.435798631689841e-58	562	202	ENSG00000120694
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000177971	IMP3	protein_coding	4.409021819168284e-62	-2.495486569	0.326	0.801	1.0044192606247268e-57	35	210	ENSG00000177971
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000159674	SPON2	protein_coding	9.810587450757083e-62	-6.061425398	0.023	0.605	2.2349499271569712e-57	2	129	ENSG00000159674
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000196531	NACA	protein_coding	2.0751791579473145e-61	-0.916297254	0.988	0.99	4.727465639719777e-57	692	1433	ENSG00000196531
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000111348	ARHGDIB	protein_coding	3.306927216929753e-61	2.700979859232949	0.45	0.106	7.53351089288767e-57	56	9	ENSG00000111348
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000196924	FLNA	protein_coding	1.0632116223550788e-60	1.422448959593495	0.942	0.827	2.422102396887105e-56	535	200	ENSG00000196924
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000007237	GAS7	protein_coding	6.647753079616866e-60	1.567947072078868	0.926	0.762	1.5144246290675183e-55	501	167	ENSG00000007237
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000115252	PDE1A	protein_coding	6.771985172538731e-60	5.522818113	0.109	0.003	1.5427259421560482e-55	9	0	ENSG00000115252
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000010282	HHATL	protein_coding	9.600535518748404e-60	5.056945402386453	0.124	0.005	2.1870979965260737e-55	27	0	ENSG00000010282
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000228742	LINC02577	lncRNA	1.4309633657185528e-59	8.080052442421675	0.074	0	3.259877643443435e-55	7	0	ENSG00000228742
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000163682	RPL9	protein_coding	1.992235579325645e-59	-1.09534076	1	0.994	4.538511873261751e-55	990	2419	ENSG00000163682
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000159685	CHCHD6	protein_coding	2.8792654579567066e-59	-2.312168902	0.554	0.881	6.559254639771173e-55	116	745	ENSG00000159685
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000120215	MLANA	protein_coding	3.4229835007755954e-59	-2.164184027	0.547	0.922	7.797898713116884e-55	289	1410	ENSG00000120215
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000171863	RPS7	protein_coding	3.9141507900627032e-59	-1.166944585	0.992	0.995	8.916826914841844e-55	1039	2931	ENSG00000171863
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000081803	CADPS2	protein_coding	8.423387846285916e-59	3.561326040779842	0.248	0.032	1.9189319852623946e-54	33	2	ENSG00000081803
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000140612	SEC11A	protein_coding	1.2548213838775767e-58	-1.266278103	0.643	0.91	2.8586085946115076e-54	135	338	ENSG00000140612
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000119335	SET	protein_coding	2.1043491378867336e-58	-1.300197586	0.76	0.945	4.7939177710197677e-54	188	451	ENSG00000119335
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000091136	LAMB1	protein_coding	2.7441290055933842e-58	2.3159813463768737	0.686	0.347	6.251400287642289e-54	211	34	ENSG00000091136
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000104870	FCGRT	protein_coding	3.9330069466517874e-58	1.7968971565069787	0.798	0.405	8.959783125167437e-54	182	67	ENSG00000104870
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000147604	RPL7	protein_coding	1.2562400034004934e-57	-0.899434741	0.996	0.992	2.861840351746664e-53	1026	2074	ENSG00000147604
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000115138	POMC	protein_coding	1.5733547301914824e-57	-7.688223819	0	0.562	3.584259410849216e-53	0	79	ENSG00000115138
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000186088	GSAP	protein_coding	1.6061139565374992e-57	2.7141389595420824	0.326	0.058	3.658888204388077e-53	35	4	ENSG00000186088
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000114315	HES1	protein_coding	2.2930012799513573e-57	2.252729880354537	0.814	0.484	5.223686215857187e-53	778	126	ENSG00000114315
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000137818	RPLP1	protein_coding	3.2415653626120316e-57	-1.252030393	1	0.999	7.3846100525664695e-53	5438	13129	ENSG00000137818
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000168938	PPIC	protein_coding	6.805774021023496e-57	2.3468997075997517	0.426	0.101	1.5504233797293626e-52	59	13	ENSG00000168938
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000185247	MAGEA11	protein_coding	1.6206981636529537e-56	7.984902659486913	0.07	0	3.692112486617794e-52	6	0	ENSG00000185247
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000169432	SCN9A	protein_coding	2.7284455334835504e-56	2.434933730937076	0.275	0.041	6.215671769828876e-52	34	3	ENSG00000169432
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000106211	HSPB1	protein_coding	4.121257949424054e-56	1.1165468744352793	1	0.965	9.388637734582939e-52	1675	839	ENSG00000106211
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000020181	ADGRA2	protein_coding	4.465034548055007e-56	2.8542534963487483	0.473	0.135	1.0171795203924112e-51	63	9	ENSG00000020181
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000204592	HLA-E	protein_coding	5.311022088819602e-56	1.4327137455449954	0.969	0.865	1.2099039420539934e-51	1063	368	ENSG00000204592
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000146592	CREB5	protein_coding	1.5344275647352847e-55	2.029239632102785	0.419	0.095	3.495579435223452e-51	77	12	ENSG00000146592
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000103811	CTSH	protein_coding	3.310541121752261e-55	-3.228309027	0.128	0.656	7.541743729463825e-51	11	106	ENSG00000103811
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000198930	CSAG1	protein_coding	6.392063590648345e-55	2.1315144083360726	0.702	0.339	1.4561760065855995e-50	130	29	ENSG00000198930
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000136938	ANP32B	protein_coding	1.0001306418638118e-54	-1.641572272	0.508	0.869	2.2783976152299498e-50	82	252	ENSG00000136938
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000118432	CNR1	protein_coding	1.0217582616246405e-54	6.5304302512129375	0.085	0.001	2.3276674958070936e-50	7	0	ENSG00000118432
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000122641	INHBA	protein_coding	1.8979365300680498e-54	4.579991402674766	0.116	0.005	4.323689209148024e-50	54	0	ENSG00000122641
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000181019	NQO1	protein_coding	2.0614817912147146e-54	-2.770226367	0.155	0.678	4.696261668566241e-50	30	198	ENSG00000181019
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000197977	ELOVL2	protein_coding	3.4465250681080626e-54	2.986290513466125	0.407	0.102	7.851528757656978e-50	65	6	ENSG00000197977
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000131016	AKAP12	protein_coding	5.26585357170389e-54	-2.790316737	0.252	0.765	1.1996141021698633e-49	51	315	ENSG00000131016
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000154734	ADAMTS1	protein_coding	9.363097897208519e-54	2.6566241027729447	0.531	0.177	2.1330073319630726e-49	130	19	ENSG00000154734
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000215845	TSTD1	protein_coding	1.269889873765633e-53	2.6763473237770747	0.558	0.204	2.8929361214254887e-49	95	17	ENSG00000215845
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000143387	CTSK	protein_coding	2.0134074959969057e-53	1.8130254938152446	0.57	0.189	4.586743616630551e-49	147	30	ENSG00000143387
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000183615	FAM167B	protein_coding	2.1254144095241137e-53	-2.599811863	0.26	0.736	4.841906566336883e-49	38	253	ENSG00000183615
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000168003	SLC3A2	protein_coding	3.5533394647040183e-53	-1.790156765	0.512	0.863	8.094862634542225e-49	90	321	ENSG00000168003
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000106546	AHR	protein_coding	3.9204070724158364e-53	2.089475364988523	0.818	0.565	8.931079351670517e-49	287	67	ENSG00000106546
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000238269	PAGE2B	protein_coding	5.537326321228983e-53	3.196640489820183	0.283	0.047	1.2614583092391746e-48	60	8	ENSG00000238269
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000115128	SF3B6	protein_coding	8.070391793729015e-53	-1.337849115	0.682	0.911	1.8385159545294067e-48	119	318	ENSG00000115128
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000128512	DOCK4	protein_coding	8.124449208410186e-53	2.496113057074833	0.45	0.127	1.8508307741679244e-48	55	8	ENSG00000128512
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000143198	MGST3	protein_coding	2.1197562892086403e-52	-1.145428386	0.791	0.951	4.8290168024462035e-48	196	487	ENSG00000143198
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000215483	LINC00598	lncRNA	9.046166623716744e-52	3.709480534678232	0.198	0.023	2.0608072185489117e-47	22	1	ENSG00000215483
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000164434	FABP7	protein_coding	3.9010325171354155e-51	2.5570913701540863	0.69	0.347	8.88694217728619e-47	326	54	ENSG00000164434
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000155495	MAGEC1	protein_coding	4.708304518418067e-51	2.6792572892288087	0.333	0.069	1.0725988523408197e-46	41	5	ENSG00000155495
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000169223	LMAN2	protein_coding	5.925375378013456e-51	1.542339455970577	0.853	0.671	1.3498597648652453e-46	269	102	ENSG00000169223
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000235750	KIAA0040	protein_coding	8.045989010745824e-51	3.6028778337296776	0.221	0.029	1.832956756538006e-46	29	2	ENSG00000235750
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000172020	GAP43	protein_coding	9.901936134994384e-51	4.350498631474316	0.159	0.014	2.2557600709130704e-46	58	2	ENSG00000172020
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000198574	SH2D1B	protein_coding	1.1898983674567522e-50	7.078785852366961	0.074	0.001	2.710707470903227e-46	12	0	ENSG00000198574
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000134376	CRB1	protein_coding	1.8861805347217016e-50	5.2731575715083805	0.093	0.003	4.296907876149508e-46	9	0	ENSG00000134376
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000163347	CLDN1	protein_coding	5.762537356126465e-50	3.067964627235384	0.194	0.022	1.31276363509917e-45	27	2	ENSG00000163347
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000234068	PAGE2	protein_coding	7.050681859550172e-50	3.065209365310837	0.178	0.018	1.6062158344241246e-45	28	4	ENSG00000234068
